entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days,entry_peak
2018-03-29,129.1,2018-09-19,156.86,77.45933384972889,2150.2711076684755,120,142.16
2018-10-30,145.76,2019-05-10,161.89,83.35806193515694,1344.56553901408,130,162.61
2019-06-04,151.89,2019-08-08,167.46,88.8461165756966,1383.334035083597,47,171.95
2020-02-28,185.37,2020-09-11,230.8,80.2620201853922,3646.3035770223705,137,220.66
2020-09-21,225.33,2020-10-26,237.35,82.210421420976,988.16926548013,25,253.83
2021-03-08,256.45,2021-03-15,266.0,76.0875161796399,726.6357795155636,5,279.7
2022-01-24,314.35,2024-04-17,403.59,64.38453731122702,5745.676109653894,569,360.96
2024-08-05,392.45,2025-01-27,490.77,66.21214272757832,6509.977872975498,119,463.81
2025-03-05,470.05,2025-11-18,519.05,69.13080158794513,3387.409277809311,180,520.37
