sma_window,band_pct,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
50,0.0,0.18,3.487,-0.355,0.296,142,0.013
100,0.02,0.179,3.482,-0.289,0.667,24,0.084
350,0.0,0.163,2.932,-0.348,0.571,14,0.157
350,0.02,0.16,2.846,-0.348,0.75,8,0.281
225,0.02,0.16,2.859,-0.33,0.429,14,0.153
350,0.04,0.157,2.771,-0.32,0.75,8,0.236
400,0.03,0.156,2.72,-0.316,0.75,8,0.21
225,0.01,0.155,2.709,-0.33,0.333,18,0.126
350,0.01,0.152,2.627,-0.348,0.75,8,0.288
100,0.01,0.151,2.586,-0.35,0.611,36,0.056
350,0.03,0.148,2.513,-0.312,0.75,8,0.243
250,0.03,0.148,2.496,-0.348,0.5,12,0.147
200,0.03,0.147,2.484,-0.319,0.429,14,0.135
250,0.02,0.147,2.469,-0.348,0.375,16,0.103
300,0.02,0.146,2.455,-0.365,0.5,12,0.167
400,0.02,0.145,2.436,-0.379,0.75,8,0.241
50,0.03,0.143,2.369,-0.325,0.765,34,0.05
250,0.01,0.142,2.347,-0.391,0.333,18,0.115
200,0.04,0.14,2.278,-0.348,0.5,12,0.136
100,0.03,0.139,2.273,-0.357,0.7,20,0.108
50,0.02,0.138,2.24,-0.393,0.65,40,0.042
300,0.1,0.135,2.171,-0.373,1.0,2,0.759
300,0.04,0.134,2.142,-0.348,0.6,10,0.149
300,0.01,0.134,2.129,-0.362,0.444,18,0.098
225,0.03,0.134,2.138,-0.348,0.429,14,0.113
350,0.05,0.133,2.099,-0.339,0.75,8,0.212
200,0.01,0.132,2.087,-0.395,0.364,22,0.099
200,0.0,0.129,2.007,-0.368,0.316,38,0.063
225,0.0,0.129,2.017,-0.379,0.294,34,0.065
300,0.03,0.127,1.969,-0.351,0.6,10,0.159
150,0.03,0.127,1.973,-0.33,0.833,12,0.201
50,0.01,0.126,1.941,-0.409,0.448,58,0.035
200,0.02,0.126,1.936,-0.334,0.4,20,0.088
200,0.1,0.126,1.949,-0.303,0.5,8,0.128
250,0.04,0.126,1.928,-0.348,0.5,12,0.116
225,0.04,0.125,1.906,-0.348,0.5,12,0.123
150,0.04,0.123,1.873,-0.33,0.833,12,0.18
400,0.1,0.123,1.88,-0.419,1.0,2,0.702
250,0.0,0.123,1.879,-0.392,0.312,32,0.068
225,0.1,0.123,1.86,-0.303,1.0,6,0.235
400,0.04,0.12,1.803,-0.369,0.75,8,0.2
300,0.05,0.12,1.796,-0.422,0.6,10,0.138
350,0.1,0.12,1.809,-0.419,1.0,2,0.684
225,0.05,0.119,1.789,-0.348,0.6,10,0.145
250,0.05,0.118,1.767,-0.354,0.6,10,0.145
200,0.05,0.117,1.738,-0.36,0.75,8,0.23
400,0.0,0.117,1.729,-0.434,0.625,16,0.127
100,0.0,0.116,1.713,-0.448,0.343,70,0.029
50,0.1,0.113,1.641,-0.34,0.667,5,0.231
150,0.05,0.111,1.599,-0.417,0.8,10,0.191
400,0.01,0.11,1.584,-0.433,0.5,12,0.158
50,0.05,0.109,1.558,-0.298,0.667,24,0.065
100,0.04,0.109,1.569,-0.332,0.714,14,0.181
150,0.01,0.108,1.541,-0.428,0.357,28,0.089
150,0.1,0.106,1.507,-0.348,0.5,8,0.138
400,0.05,0.105,1.487,-0.41,0.75,8,0.188
250,0.1,0.105,1.469,-0.316,1.0,6,0.219
150,0.0,0.104,1.457,-0.407,0.269,52,0.047
100,0.05,0.103,1.439,-0.425,0.833,12,0.197
300,0.0,0.099,1.366,-0.478,0.312,32,0.052
100,0.1,0.082,1.042,-0.36,0.5,8,0.14
150,0.02,0.08,1.017,-0.424,0.5,20,0.111
50,0.04,0.071,0.872,-0.338,0.643,28,0.049
50,0.75,0.0,0.0,0.0,,0,
225,0.75,0.0,0.0,0.0,,0,
200,0.75,0.0,0.0,0.0,,0,
100,0.75,0.0,0.0,0.0,,0,
150,0.75,0.0,0.0,0.0,,0,
300,0.75,0.0,0.0,0.0,,0,
250,0.75,0.0,0.0,0.0,,0,
350,0.75,0.0,0.0,0.0,,0,
400,0.75,0.0,0.0,0.0,,0,
