rank,params,train_cagr,avg_cagr,std_cagr,stability_score,sma_window,atr_window,atr_multiplier,yr_2017,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023
1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.15185714285714286,0.2560080515315477,0.5931733082169472,15,20,0.35,0.054,0.057,0.347,0.114,0.679,-0.063,-0.125
2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.15885714285714284,0.29936381524417915,0.5306491124438983,15,20,0.1,0.052,0.032,0.281,0.272,0.775,-0.121,-0.179
3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.1677142857142857,0.31214589733727044,0.5372945380508145,15,20,0.05,0.052,0.052,0.324,0.359,0.756,-0.19,-0.179
4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.1472857142857143,0.26433350919176446,0.5571965307616894,15,20,0.3,0.065,0.057,0.282,0.171,0.703,-0.122,-0.125
5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.18628571428571433,0.22114747134351923,0.8423596849377833,15,14,0.3,0.026,0.028,0.301,0.138,0.659,-0.043,0.195
6,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.35}",0.238,0.1858571428571429,0.2233648063923542,0.8320789020391746,15,14,0.35,0.018,0.028,0.367,0.103,0.636,-0.046,0.195
7,"{'sma_window': 15, 'atr_window': 10, 'atr_multiplier': 0.25}",0.237,0.17014285714285712,0.22276664829331325,0.7637716796763615,15,10,0.25,0.058,0.057,0.301,0.144,0.65,-0.078,0.059
8,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.4}",0.236,0.14214285714285713,0.2698001527964349,0.5268449838503405,15,20,0.4,0.048,0.091,0.347,0.114,0.679,-0.089,-0.195
9,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.2}",0.236,0.14342857142857143,0.2606008755290945,0.5503763989179634,15,20,0.2,0.065,0.087,0.263,0.17,0.688,-0.133,-0.136
10,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.25}",0.236,0.1417142857142857,0.2556033278822672,0.5544305189154672,15,20,0.25,0.065,0.087,0.282,0.17,0.663,-0.15,-0.125
11,"{'sma_window': 5, 'atr_window': 7, 'atr_multiplier': 0.4}",0.188,0.1032857142857143,0.20079891454296422,0.5143738676117924,5,7,0.4,0.024,0.066,0.194,0.417,0.31,-0.106,-0.182
12,"{'sma_window': 15, 'atr_window': 10, 'atr_multiplier': 0.3}",0.235,0.1682857142857143,0.2250820258646766,0.7476639400202072,15,10,0.3,0.026,0.031,0.301,0.145,0.659,-0.043,0.059
13,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.4}",0.226,0.16757142857142857,0.20120058019147896,0.8328575812850731,15,14,0.4,0.054,0.019,0.379,0.103,0.549,-0.062,0.131
14,"{'sma_window': 15, 'atr_window': 10, 'atr_multiplier': 0.35}",0.222,0.14585714285714288,0.21556797308600406,0.6766178703130032,15,10,0.35,0.022,0.028,0.379,0.103,0.562,-0.046,-0.027
15,"{'sma_window': 5, 'atr_window': 7, 'atr_multiplier': 0.35}",0.171,0.1002857142857143,0.1693329048149273,0.5922399689258372,5,7,0.35,0.127,0.065,0.211,0.131,0.402,-0.124,-0.11
16,"{'sma_window': 5, 'atr_window': 10, 'atr_multiplier': 0.4}",0.2,0.14114285714285713,0.18447177761027264,0.7651189735973863,5,10,0.4,0.11,0.048,0.186,0.453,0.307,-0.164,0.048
