vix_low,vix_high,cagr,total_return,max_drawdown,win_rate,n_trades
25,40,0.134,2.124,-0.322,0.563,103
25,30,0.129,2.013,-0.34,0.529,119
25,35,0.123,1.864,-0.328,0.557,106
22,40,0.118,1.748,-0.311,0.543,127
25,28,0.116,1.721,-0.343,0.504,121
20,40,0.114,1.66,-0.259,0.557,167
22,30,0.114,1.665,-0.327,0.524,145
15,40,0.11,1.588,-0.191,0.607,112
20,30,0.11,1.573,-0.275,0.548,186
22,25,0.109,1.558,-0.319,0.51,151
22,35,0.107,1.523,-0.316,0.53,132
15,30,0.106,1.504,-0.193,0.568,132
20,25,0.105,1.47,-0.267,0.517,203
20,35,0.103,1.434,-0.265,0.558,172
18,40,0.102,1.417,-0.214,0.562,160
22,28,0.101,1.405,-0.33,0.497,153
15,25,0.1,1.387,-0.178,0.546,152
15,35,0.099,1.35,-0.186,0.602,118
20,28,0.097,1.324,-0.278,0.528,195
18,30,0.097,1.322,-0.219,0.547,179
15,28,0.095,1.272,-0.196,0.528,142
18,25,0.093,1.243,-0.207,0.523,197
18,35,0.091,1.208,-0.211,0.558,165
18,28,0.085,1.099,-0.223,0.513,189
