entry_date,entry_price,entry_peak,exit_date,exit_price,shares,pnl
2021-05-05,322.4253532736857,331.5280456542969,2021-06-14,334.322998046875,0.31014930738128577,3.690046285873237
2021-09-21,357.5203744709026,371.2411804199219,2021-10-28,373.7049865722656,0.2798075511386007,4.528576678210555
2021-11-29,385.0557152401909,392.9339294433594,2021-12-27,392.9392395019531,0.259916116729267,2.0490550122581936
2022-01-06,372.42937226261216,392.9392395019531,2023-12-13,397.822509765625,0.2687829807074877,6.825243187574884
2024-01-04,391.61557604906113,406.4923095703125,2024-01-18,407.96417236328125,0.2557889301090769,4.181789959999563
2024-04-16,426.2190306875889,441.53094482421875,2024-05-15,447.9801025390625,0.23512030176027818,5.116469780345568
2024-07-18,481.0189866258677,498.2869567871094,2024-11-06,501.5865478515625,0.20844065327306302,4.287115898117548
2024-11-18,494.1954094353085,510.0789489746094,2024-12-02,511.2198486328125,0.2029698800372087,3.4554483816181403
2024-12-19,517.0732431157651,533.9190673828125,2025-02-14,534.76025390625,0.1940563330007293,3.4322764557458356
2025-02-25,515.9693018739836,536.1216430664062,2025-06-24,537.7831420898438,0.19453804684084175,4.243621869691637
2025-10-13,598.1541220292103,609.8842163085938,2025-10-20,609.9839477539062,0.1678799706243444,1.9859907951530715
2025-11-07,606.7621834660789,634.15234375,2026-04-15,637.4000244140625,0.1655310088201317,5.071512720190469
